State,Soil_type
Telangana,red and yellow
Andhra Pradesh,red and yellow
Assam,alluvial
Bihar,alluvial
Karnataka,black
Tamil Nadu,red and yellow
Chhattisgarh,red and yellow
Goa,red and yellow
Gujarat,black
Haryana,alluvial
Himachal Pradesh,alluvial
Jharkhand,red and yellow
Kerala,laterite
Madhya Pradesh,black
Maharashtra,black
Manipur,red and yellow
Meghalaya,alluvial
Mizoram,red
Nagaland,red
Odisha,red
Punjab,alluvial
Rajasthan,desert
Sikkim,mountain
Tripura,red
Uttar Pradesh,alluvial
West Bengal,alluvial
Arunachal Pradesh,red
Delhi,alluvial
Jammu and Kashmir,alluvial
Puducherry,red and loamy
Uttarakhand,alluvial
